2019-05-15 12:50:47,004 [Worker-122] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-15 12:50:48,406 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-15 12:50:48,414 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-15 12:50:48,416 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-15 12:50:48,417 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-15 12:50:49,853 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-15 12:50:49,859 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-15 12:50:49,860 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-15 12:50:49,860 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 07:24:39,249 [Worker-179] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-16 07:24:40,333 [Worker-179] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 07:24:40,335 [Worker-179] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 07:24:40,337 [Worker-179] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 07:24:40,339 [Worker-179] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 07:24:41,725 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 07:24:41,727 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
